Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
6/30/2000,1487.000000,1495.000000,1480.000000,1484.550000,1484.550000,1483.135000,1.000000,-0.003892,1015424.076607,0.000000,-0.003892,976862.568511,0.000000,996108.296709,0.000000,996108.296709,0.000000
7/3/2000,1490.500000,1503.000000,1490.000000,1501.250000,1501.250000,1483.495000,1.000000,0.011249,1026846.785226,0.000000,0.011249,987851.491009,0.000000,1007313.718254,0.000000,1007313.718254,0.000000
7/4/2000,1502.000000,1515.000000,1499.500000,1514.400000,1514.400000,1483.540000,1.000000,0.008759,1035841.313269,0.000000,0.008759,996504.444952,0.000000,1016137.148992,0.000000,1016137.148992,0.000000
7/5/2000,1522.000000,1527.000000,1512.050000,1522.700000,1522.700000,1487.195000,1.000000,0.005481,1041518.467852,0.000000,0.005481,1001966.005235,0.000000,1021706.310598,0.000000,1021706.310598,0.000000
7/6/2000,1510.000000,1521.000000,1510.000000,1517.900000,1517.900000,1489.650000,1.000000,-0.003152,1038235.294118,0.000000,-0.003152,998807.512541,0.000000,1018485.590633,0.000000,1018485.590633,0.000000
7/7/2000,1520.000000,1523.000000,1514.750000,1517.700000,1517.700000,1493.650000,1.000000,-0.000132,1038098.495212,0.000000,-0.000132,998675.908679,0.000000,1018351.393968,0.000000,1018351.393968,0.000000
7/10/2000,1524.400000,1524.400000,1506.500000,1509.400000,1509.400000,1498.390000,1.000000,-0.005469,1032421.340629,0.000000,-0.005469,993214.348396,0.000000,1012782.232362,0.000000,1012782.232362,0.000000
7/11/2000,1517.000000,1520.500000,1508.000000,1518.950000,1518.950000,1504.695000,1.000000,0.006327,1038953.488372,0.000000,0.006327,999498.432818,0.000000,1019190.123125,0.000000,1019190.123125,0.000000
7/12/2000,1513.250000,1538.500000,1510.500000,1536.500000,1536.500000,1511.370000,1.000000,0.011554,1050957.592339,0.000000,0.011554,1011046.671730,0.000000,1030965.880498,0.000000,1030965.880498,0.000000
7/13/2000,1542.000000,1564.000000,1520.000000,1523.200000,1523.200000,1514.655000,1.000000,-0.008656,1041860.465116,0.000000,-0.008656,1002295.014891,0.000000,1022041.802261,0.000000,1022041.802261,0.000000
7/14/2000,1526.000000,1532.000000,1508.050000,1511.900000,1511.900000,1517.390000,1.000000,-0.007419,1034131.326949,14740.082079,-0.007419,994859.396674,14180.316157,1014459.690677,14459.690677,1014459.690677,14459.690677
7/17/2000,1513.500000,1513.500000,1482.050000,1483.350000,1483.350000,1515.600000,-1.000000,-0.018884,1014603.283174,0.000000,0.018884,1013645.848010,0.000000,981116.475957,0.000000,1018883.524043,0.000000
7/18/2000,1484.500000,1484.800000,1465.000000,1466.050000,1466.050000,1510.765000,-1.000000,-0.011663,1002770.177839,0.000000,0.011663,1025467.786979,0.000000,969673.920233,0.000000,1030766.548929,0.000000
7/19/2000,1470.000000,1471.500000,1443.000000,1444.000000,1444.000000,1502.895000,-1.000000,-0.015040,987688.098495,0.000000,0.015040,1040891.247777,0.000000,955089.622330,0.000000,1046269.705305,0.000000
7/20/2000,1441.100000,1450.000000,1425.000000,1431.650000,1431.650000,1494.270000,-1.000000,-0.008553,979240.766074,0.000000,0.008553,1049793.607133,0.000000,946921.092665,0.000000,1055218.064626,0.000000
